TransactionID,Date,CustomerID,Region,ProductCategory,ProductName,UnitsSold,UnitPrice,Revenue,Discount,ProfitMargin,PaymentMethod,SalesRep,CustomerSatisfaction
1,2022-01-01 00:00:00,4174,East,Electronics,Perfume,19,11.59,180.57,0.18,0.32,Credit Card,Charlie,5
2,2022-01-01 01:00:00,4507,South,Clothing,Sofa,4,133.57,395.37,0.26,0.17,Credit Card,Diana,5
3,2022-01-01 02:00:00,1860,North,Home,Shirt,7,236.57,1440.71,0.13,0.24,Bank Transfer,Ethan,5
4,2022-01-01 03:00:00,2294,South,Sports,Perfume,6,348.54,1693.9,0.19,0.11,Credit Card,Alice,3
5,2022-01-01 04:00:00,2130,East,Beauty,Perfume,14,194.11,2065.33,0.24,0.38,Credit Card,Diana,4
6,2022-01-01 05:00:00,2095,South,Home,Perfume,19,270.34,4571.45,0.11,0.3,PayPal,Bob,5
7,2022-01-01 06:00:00,4772,East,Clothing,Sofa,11,264.51,2327.69,0.2,0.18,Cash,Bob,2
8,2022-01-01 07:00:00,4092,East,Electronics,Shirt,7,86.67,539.95,0.11,0.16,Cash,Alice,4
9,2022-01-01 08:00:00,2638,South,Home,Football,3,313.41,761.59,0.19,0.13,Bank Transfer,Ethan,5
10,2022-01-01 09:00:00,3169,West,Sports,Sofa,17,222.43,3516.62,0.07,0.33,Bank Transfer,Charlie,3
11,2022-01-01 10:00:00,1466,North,Clothing,Laptop,11,404.92,3162.43,0.29,0.2,Credit Card,Alice,5
12,2022-01-01 11:00:00,2238,West,Electronics,Laptop,15,346.85,5098.7,0.02,0.17,Cash,Charlie,5
13,2022-01-01 12:00:00,1330,West,Beauty,Sofa,7,60.18,358.07,0.15,0.37,PayPal,Charlie,1
14,2022-01-01 13:00:00,2482,South,Clothing,Football,15,246.94,3370.73,0.09,0.1,PayPal,Bob,1
15,2022-01-01 14:00:00,3135,North,Electronics,Laptop,17,352.73,4917.06,0.18,0.14,Cash,Ethan,4
16,2022-01-01 15:00:00,4444,North,Beauty,Football,11,48.07,460.03,0.13,0.17,Bank Transfer,Charlie,1
17,2022-01-01 16:00:00,4171,West,Electronics,Perfume,12,397.29,4338.41,0.09,0.14,Cash,Alice,3
18,2022-01-01 17:00:00,3919,South,Beauty,Sofa,13,114.89,1374.08,0.08,0.25,Bank Transfer,Bob,1
19,2022-01-01 18:00:00,4735,North,Beauty,Perfume,11,254.03,2654.61,0.05,0.26,PayPal,Charlie,3
20,2022-01-01 19:00:00,1130,West,Beauty,Laptop,11,470.58,3985.81,0.23,0.07,Credit Card,Bob,5
21,2022-01-01 20:00:00,2685,North,Electronics,Football,9,287.81,2408.97,0.07,0.1,Credit Card,Bob,4
22,2022-01-01 21:00:00,4380,South,Beauty,Perfume,11,214.91,1820.29,0.23,0.12,PayPal,Alice,1
23,2022-01-01 22:00:00,1769,South,Clothing,Laptop,4,8.36,28.42,0.15,0.07,Cash,Alice,1
24,2022-01-01 23:00:00,3391,South,Sports,Shirt,2,71.04,139.24,0.02,0.09,Cash,Diana,4
25,2022-01-02 00:00:00,2515,North,Sports,Perfume,4,291.44,1107.47,0.05,0.13,Cash,Charlie,3
26,2022-01-02 01:00:00,4485,East,Beauty,Shirt,14,249.44,2549.28,0.27,0.17,Cash,Bob,3
27,2022-01-02 02:00:00,3853,North,Sports,Shirt,5,185.1,758.91,0.18,0.33,Cash,Diana,1
28,2022-01-02 03:00:00,3433,East,Sports,Laptop,17,461.99,7382.6,0.06,0.13,Bank Transfer,Alice,3
29,2022-01-02 04:00:00,2215,South,Beauty,Sofa,12,169.58,1607.62,0.21,0.28,Cash,Ethan,3
30,2022-01-02 05:00:00,1955,West,Beauty,Football,6,270.89,1219.0,0.25,0.07,Cash,Bob,1
31,2022-01-02 06:00:00,3324,East,Clothing,Laptop,12,286.51,3094.31,0.1,0.28,Cash,Ethan,1
32,2022-01-02 07:00:00,2184,South,Home,Perfume,15,266.1,3312.94,0.17,0.33,Credit Card,Ethan,1
33,2022-01-02 08:00:00,1459,South,Electronics,Football,19,241.4,4173.81,0.09,0.26,Credit Card,Bob,2
34,2022-01-02 09:00:00,4385,East,Beauty,Sofa,10,171.85,1684.13,0.02,0.12,Cash,Diana,1
35,2022-01-02 10:00:00,1021,West,Beauty,Laptop,2,454.84,800.52,0.12,0.17,Cash,Diana,2
36,2022-01-02 11:00:00,3300,South,Sports,Sofa,12,228.15,2108.11,0.23,0.33,Bank Transfer,Bob,5
37,2022-01-02 12:00:00,1747,East,Clothing,Perfume,12,266.58,2751.11,0.14,0.2,Credit Card,Charlie,3
38,2022-01-02 13:00:00,3904,West,Sports,Laptop,7,329.96,2032.55,0.12,0.14,PayPal,Ethan,2
39,2022-01-02 14:00:00,4632,West,Beauty,Perfume,1,38.49,34.26,0.11,0.38,Credit Card,Diana,5
40,2022-01-02 15:00:00,1474,South,Beauty,Football,18,391.74,6064.14,0.14,0.27,Cash,Bob,3
